election_id,date_of_dissolution,date_of_election,capacity,party,is_government_party,last_date_of_electon(rep),before_seats(rep),last_date_of_electon(cou),before_seats(cou),candidates,approval_rating(last_month),approval_rating(2_month_ago),approval_rating(3_month_ago),result
42,2000-06-02,2000-06-25,480,jimin,1,1996-10-20,271,1998-07-12,103,337,28.1,28.4,30.3,233
42,2000-06-02,2000-06-25,480,minshu,0,1996-10-20,95,1998-07-12,47,262,8.3,8.2,7.9,127
42,2000-06-02,2000-06-25,480,koumei,1,1996-10-20,42,1998-07-12,22,74,3.7,2.6,3.1,31
42,2000-06-02,2000-06-25,480,kyousan,0,1996-10-20,26,1998-07-12,23,332,2.4,2.5,2,20
42,2000-06-02,2000-06-25,480,jiyuu,0,1996-10-20,18,1998-07-12,12,75,2.2,1,1.5,22
42,2000-06-02,2000-06-25,480,hoshu,0,1996-10-20,18,1998-07-12,None,19,0.1,0.1,0.1,7
42,2000-06-02,2000-06-25,480,syamin,0,1996-10-20,14,1998-07-12,13,76,2.6,2.6,2.6,19
43,2003-10-10,2003-11-09,480,jimin,1,2000-06-25,247,2001-07-29,111,336,35.8,32.2,30.6,237
43,2003-10-10,2003-11-09,480,minshu,0,2000-06-25,137,2001-07-29,59,277,9.9,9.2,6.1,177
43,2003-10-10,2003-11-09,480,koumei,1,2000-06-25,31,2001-07-29,23,55,2.8,3.8,2.7,34
43,2003-10-10,2003-11-09,480,kyousan,0,2000-06-25,20,2001-07-29,20,316,1.5,2.2,1.6,9
43,2003-10-10,2003-11-09,480,syamin,0,2000-06-25,18,2001-07-29,8,65,0.7,0.9,1.2,6
44,2005-08-08,2005-09-11,480,jimin,1,2003-11-09,212,2004-07-17,115,346,35.3,31.3,32.2,296
44,2005-08-08,2005-09-11,480,minshu,0,2003-11-09,177,2004-07-17,82,299,13.7,13.8,12.4,113
44,2005-08-08,2005-09-11,480,koumei,1,2003-11-09,34,2004-07-17,24,52,4.6,3.5,3.1,31
44,2005-08-08,2005-09-11,480,kyousan,0,2003-11-09,9,2004-07-17,9,292,2.6,1.6,2.5,9
44,2005-08-08,2005-09-11,480,syamin,0,2003-11-09,5,2004-07-17,5,45,2.2,0.7,1.2,7
45,2009-07-21,2009-08-30,480,jimin,1,2005-09-11,300,2007-07-29,83,326,26.6,24.9,26.9,119
45,2009-07-21,2009-08-30,480,minshu,0,2005-09-11,115,2007-07-29,109,330,29,26.4,23.7,308
45,2009-07-21,2009-08-30,480,koumei,1,2005-09-11,31,2007-07-29,20,51,3.3,3.2,2.7,21
45,2009-07-21,2009-08-30,480,kyousan,0,2005-09-11,9,2007-07-29,7,171,2.7,2.2,2.1,9
45,2009-07-21,2009-08-30,480,syamin,0,2005-09-11,7,2007-07-29,5,37,0.7,0.6,0.9,7
46,2012-11-16,2012-12-16,480,jimin,0,2009-08-30,118,2010-07-11,84,337,26.6,25,26.2,294
46,2012-11-16,2012-12-16,480,minshu,1,2009-08-30,231,2010-07-11,106,267,16.1,12.7,13.8,57
46,2012-11-16,2012-12-16,480,koumei,0,2009-08-30,21,2010-07-11,19,54,4.1,3,2.8,31
46,2012-11-16,2012-12-16,480,kyousan,0,2009-08-30,9,2010-07-11,6,322,2.7,2,1.6,8
46,2012-11-16,2012-12-16,480,syamin,0,2009-08-30,5,2010-07-11,4,33,0.7,0.5,0.4,2
46,2012-11-16,2012-12-16,480,mirai,0,2009-08-30,61,2010-07-11,None,121,1.6,None,None,9
46,2012-11-16,2012-12-16,480,ishin,0,2009-08-30,11,2010-07-11,None,172,4.7,1.6,2.4,54
46,2012-11-16,2012-12-16,480,minnna,0,2009-08-30,8,2010-07-11,11,69,2.1,1.2,1.2,18
47,2014-11-21,2014-12-14,475,jimin,1,2012-12-16,295,2013-07-28,115,352,38.1,36.6,40.2,291
47,2014-11-21,2014-12-14,475,minshu,0,2012-12-16,63,2013-07-28,59,198,11.7,7.9,5.6,73
47,2014-11-21,2014-12-14,475,koumei,1,2012-12-16,31,2013-07-28,20,51,5.9,2.2,4.1,35
47,2014-11-21,2014-12-14,475,kyousan,0,2012-12-16,8,2013-07-28,11,315,4.3,3.5,3.3,21
47,2014-11-21,2014-12-14,475,syamin,0,2012-12-16,2,2013-07-28,1,25,0.9,0.6,0.9,2
47,2014-11-21,2014-12-14,475,ishin,0,2012-12-16,42,2013-07-28,8,84,3.7,1.2,1.4,41
47,2014-11-21,2014-12-14,475,jisedai,0,2012-12-16,19,2013-07-28,None,48,0.1,0.2,0.1,2
